  'm-h': `X	Percentil5	Percentil10	Percentil25	Percentil50	Percentil75	Percentil90	Percentil95
0.369863014	56.76	7.26	11.29	14.83	11.61	9.48	5.11
0.372602740	56.78	7.24	11.29	14.79	11.54	9.59	5.18
0.375342466	56.78	7.26	11.27	14.73	11.67	9.43	5.26
0.378082192	56.42	7.61	11.04	14.97	11.67	9.43	5.27
0.380821918	56.42	7.54	11.05	15.03	11.67	9.43	5.27
0.383561644	56.42	7.54	11.05	15.03	11.67	9.43	5.27
0.386301370	56.11	7.88	11.02	15.04	11.65	9.52	5.19
0.389041096	56.11	7.88	11.02	15.04	11.69	9.48	5.19
0.391780822	56.11	8.02	10.88	15.04	11.69	9.48	5.19
0.394520548	56.11	8.02	10.88	15.16	11.57	9.48	5.19
0.397260274	56.11	8.02	10.88	15.16	11.57	9.48	5.19
0.400000000	56.11	8.02	10.88	15.17	11.56	9.48	5.19
0.402739726	56.11	8.08	10.82	15.12	11.61	9.48	5.18
0.405479452	56.11	8.08	10.80	15.12	11.63	9.48	5.18
0.408219178	56.11	8.09	10.79	15.21	11.63	9.40	5.18
0.410958904	56.11	8.09	10.79	15.21	11.53	9.49	5.18
0.413698630	56.11	8.09	10.79	15.21	11.53	9.49	5.18
0.416438356	55.96	8.11	10.92	15.14	11.60	9.49	5.18
0.419178082	55.96	8.11	10.92	15.14	11.60	9.49	5.18
0.421917808	55.96	8.06	10.97	15.14	11.58	9.52	5.23
0.424657534	55.96	8.06	10.97	15.14	11.52	9.59	5.23
0.427397260	55.96	8.03	11.00	15.21	11.45	9.59	5.23
0.430136986	55.96	8.03	11.33	14.88	11.45	9.59	5.23
0.432876712	55.96	8.03	11.33	14.89	11.44	9.59	5.23
0.435616438	55.96	8.04	11.32	14.89	11.44	9.59	5.23
0.438356164	55.96	8.04	11.49	14.76	11.41	9.57	5.25
0.441095890	55.96	8.04	11.49	14.82	11.39	9.51	5.25
0.443835616	56.00	8.01	11.37	14.94	11.32	9.58	5.25
0.446575342	56.00	8.01	11.37	14.94	11.32	9.58	5.25
0.449315068	56.00	8.01	11.37	15.02	11.27	9.55	5.25
0.452054795	56.00	8.01	11.37	15.02	11.28	9.54	5.25
0.454794521	56.00	8.01	11.37	15.02	11.28	9.53	5.27
0.457534247	55.64	8.23	11.51	15.06	11.21	9.55	5.27
0.460273973	55.64	8.24	11.49	15.03	11.25	9.56	5.26
0.463013699	55.64	8.44	11.30	15.03	11.25	9.56	5.26
0.465753425	55.64	8.44	11.25	15.05	11.27	9.56	5.26
0.468493151	55.64	8.44	11.25	14.98	11.42	9.48	5.26
0.471232877	55.64	8.24	11.46	15.09	11.31	9.46	5.34
0.473972603	55.64	8.24	11.46	15.09	11.31	9.46	5.34
0.476712329	55.64	8.25	11.12	15.39	11.33	9.46	5.34
0.479452055	55.64	8.25	11.12	15.39	11.33	9.46	5.34
0.482191781	55.64	8.25	11.21	15.30	11.39	9.40	5.34
0.484931507	55.64	8.38	11.09	15.30	11.39	9.40	5.34
0.487671233	55.64	8.38	11.09	15.32	11.38	9.38	5.36
0.490410959	55.67	8.34	11.09	15.41	11.28	9.38	5.36
0.493150685	55.67	8.35	11.08	15.41	11.28	9.38	5.36
0.495890411	55.45	8.52	11.13	15.47	11.24	9.36	5.36
0.498630137	55.45	8.52	11.13	15.40	11.34	9.33	5.36
0.501369863	55.45	8.52	11.14	15.37	11.40	9.29	5.36
0.504109589	55.30	8.67	11.14	15.37	11.40	9.27	5.38
0.506849315	55.30	8.67	11.14	15.37	11.40	9.27	5.38
0.509589041	55.30	8.67	11.14	15.23	11.54	9.27	5.38
0.512328767	55.30	8.72	11.09	15.23	11.54	9.26	5.38
0.515068493	55.30	8.72	11.03	15.29	11.54	9.27	5.38
0.517808219	55.30	8.72	11.04	15.27	11.45	9.35	5.39
0.520547945	55.26	8.69	11.12	15.27	11.40	9.38	5.48
0.523287671	55.26	8.71	11.10	15.27	11.40	9.38	5.48
0.526027397	55.26	8.71	11.20	15.26	11.33	9.38	5.47
0.528767123	55.26	8.65	11.25	15.15	11.39	9.42	5.47
0.531506849	55.26	8.71	11.42	14.92	11.40	9.42	5.47
0.534246575	55.26	8.71	11.42	14.95	11.36	9.42	5.47
0.536986301	55.10	8.86	11.45	14.93	11.36	9.41	5.49
0.539726027	55.10	8.87	11.44	14.93	11.36	9.41	5.49
0.542465753	55.10	8.87	11.44	14.92	11.40	9.35	5.51
0.545205479	55.10	8.87	11.49	14.86	11.40	9.35	5.51
0.547945205	55.10	8.87	11.49	14.74	11.52	9.35	5.51
0.550684932	55.10	8.87	11.57	14.66	11.52	9.35	5.51
0.553424658	55.10	9.06	11.38	14.66	11.52	9.34	5.53
0.556164384	55.10	9.06	11.47	14.60	11.50	9.34	5.53
0.558904110	55.13	8.85	11.47	14.74	11.54	9.34	4.93
0.561643836	55.13	8.85	11.47	14.74	11.54	9.34	4.96
0.564383562	55.13	8.85	11.47	14.74	11.45	9.42	4.94
0.567123288	55.13	8.85	11.47	14.79	11.40	9.43	4.94
0.569863014	55.13	8.85	11.61	14.65	11.40	9.30	5.07
0.572602740	55.13	8.85	11.61	14.65	11.40	9.30	5.07
0.575342466	55.63	8.35	11.61	14.65	11.40	9.30	5.07
0.578082192	55.63	8.35	11.61	14.59	11.51	9.25	5.07
0.580821918	55.63	8.35	11.52	14.68	11.51	9.25	5.07
0.583561644	55.63	8.35	11.52	14.68	11.51	9.00	5.33
0.586301370	55.63	8.35	11.52	14.64	11.54	9.00	5.33
0.589041096	55.67	8.32	11.45	14.71	11.54	9.00	5.33
0.591780822	55.67	8.32	11.45	14.71	11.58	8.95	5.12
0.594520548	55.67	8.32	11.45	14.71	11.58	8.95	5.12
0.597260274	55.67	8.32	11.16	15.00	11.58	8.94	5.12
0.600000000	55.67	8.32	11.16	15.03	11.55	8.94	5.12
0.602739726	55.67	8.32	11.16	15.00	11.58	8.94	5.12
0.605479452	55.67	8.32	11.16	15.00	11.58	8.94	5.12
0.608219178	55.67	8.24	11.24	14.99	11.60	8.93	5.12
0.610958904	55.67	8.24	11.16	15.06	11.60	9.05	5.01
0.613698630	55.67	8.24	11.16	15.06	11.66	8.99	5.01
0.616438356	56.18	7.73	11.16	15.04	11.68	8.99	5.01
0.619178082	56.18	7.90	11.00	15.01	11.71	8.99	5.01
0.621917808	56.18	7.90	11.00	15.03	11.69	9.00	4.51
0.624657534	56.18	7.90	10.88	15.14	11.69	9.00	4.51
0.627397260	56.18	7.90	10.88	15.14	11.66	9.04	4.51
0.630136986	56.16	7.93	10.87	15.11	11.69	9.04	4.51
0.632876712	56.19	7.90	10.86	15.12	11.65	9.06	4.51
0.635616438	56.19	7.90	10.86	15.12	11.68	9.04	4.51
0.638356164	56.19	7.90	10.86	15.12	11.68	9.04	4.51
0.641095890	56.19	7.90	10.98	15.01	11.68	9.04	4.51
0.643835616	56.19	7.90	10.93	15.08	11.62	9.08	4.51
0.646575342	56.19	7.90	10.93	15.08	11.62	9.08	4.51
0.649315068	56.19	7.91	10.92	15.08	11.62	9.22	4.26
0.652054795	56.19	7.91	10.92	15.08	11.62	9.22	4.27
0.654794521	56.69	7.41	10.72	15.31	11.59	9.22	4.27
0.657534247	56.69	7.41	10.66	15.36	11.59	9.22	4.27
0.660273973	56.69	7.41	10.66	15.36	11.59	9.22	4.27
0.663013699	56.69	7.41	10.66	15.36	11.59	9.22	4.27
0.665753425	56.69	7.41	10.66	15.40	11.54	9.12	4.34
0.668493151	56.41	7.70	10.87	15.26	11.47	9.12	4.34
